question,question_type,answer
What are your best practices for writing Python scripts?,tech specific experience,Followed PEP8 best practices
Do you have experience with distributed computing?,general question,"Yes, used Dask for distributed computing"
How do you handle failures in an ETL pipeline?,tech specific experience,Implemented retry logic in ETL pipelines
Have you worked with JSON and XML data formats?,general question,"Yes, processed JSON and XML data in ETL pipelines"
How do you implement logging in data engineering workflows?,tech specific experience,Used structured logging in workflows
How do you ensure security in your applications?,general question,Implemented security best practices in applications
What are your strategies for handling concurrency in databases?,tech specific experience,Optimized indexing and locking in databases
Have you worked with NoSQL databases?,general question,"Yes, used MongoDB and Firebase."
How do you optimize a SQL query for performance?,tech specific experience,Used indexing and query rewriting.
Can you write optimized SQL queries?,general question,"Yes, optimized SQL queries for better performance."
What techniques do you use for debugging deep learning models?,tech specific experience,Implemented stepwise debugging and logging.
Have you worked with message queues like Kafka?,general question,"Yes, worked with Kafka for real-time data processing."
Describe a time you improved an ML model's performance.,tech specific experience,Fine-tuned hyperparameters and optimized training data.
Do you have experience with API integrations?,general question,"Yes, integrated multiple APIs in web applications."
How do you handle schema evolution in Snowflake?,tech specific experience,Managed schema changes using version control.
Have you performed data migration projects?,general question,"Yes, handled data migration between databases."
What techniques do you use for parallel data processing?,tech specific experience,Used parallel execution and Dask.
How do you handle large-scale data processing?,general question,Used Snowflake and parallel processing for efficiency.
Describe how you implemented authentication in a web application.,tech specific experience,Implemented JWT-based authentication.
What tools have you used for container orchestration?,general question,Used Kubernetes and Docker Swarm.
How do you set up monitoring for an ETL pipeline?,tech specific experience,Used Prometheus and Grafana for monitoring.
Have you worked with real-time data processing?,general question,"Yes, worked on real-time analytics pipelines."
What strategies do you use for data pipeline fault tolerance?,tech specific experience,Implemented retry logic and fault tolerance mechanisms.
What security measures do you implement in software development?,general question,Implemented authentication and authorization best practices.
How do you optimize Python scripts for large datasets?,tech specific experience,Used vectorization and multiprocessing.
Can you automate deployments using CI/CD tools?,general question,"Yes, automated deployments using GitHub Actions and AWS."
What tools do you use for logging in software applications?,tech specific experience,Used structured logging and monitoring dashboards.
What is your experience with data cleaning?,general question,Used Pandas and NumPy for cleaning large datasets.
How do you handle API rate limits when working with external services?,tech specific experience,Implemented request throttling and caching.
Have you worked with graph databases?,general question,"Yes, explored graph databases for specific use cases."
What steps do you take for database indexing?,tech specific experience,Added proper indexes and avoided full table scans.
How do you optimize ETL pipelines?,general question,Optimized ETL pipelines using dbt and Airflow.
How do you design a scalable machine learning pipeline?,tech specific experience,Designed modular and scalable ML pipelines.
Have you written unit tests for Python applications?,general question,"Yes, written unit tests using pytest."
What challenges have you faced in implementing microservices?,tech specific experience,Resolved inter-service communication challenges.
How do you handle performance tuning in databases?,general question,Used indexing and partitioning for performance tuning.
How do you handle concurrency issues in databases?,tech specific experience,Used locks and transactions for concurrency control.
Have you worked with distributed computing frameworks?,general question,Used Dask for distributed data processing.
Describe a time you refactored a data pipeline for efficiency.,tech specific experience,Refactored redundant processes for better efficiency.
Can you handle structured and unstructured data?,general question,"Yes, handled both structured and unstructured data."
What tools do you use for testing data integrity?,tech specific experience,Used checksums and validation tests.
What data visualization tools have you used?,general question,"Seaborn, Matplotlib, Power BI."
How do you handle streaming data in real-time applications?,tech specific experience,Used Kafka and Apache Flink for streaming.
Have you worked with cloud storage solutions?,general question,Used AWS S3 and Snowflake for cloud storage.
What are your best practices for writing maintainable Python code?,tech specific experience,Followed PEP8 and modular programming.
What are your strategies for handling data redundancy?,general question,Normalized data and used deduplication techniques.
How do you ensure efficient batch processing in ETL workflows?,tech specific experience,Used batch processing frameworks like Apache Spark.
Would you need to serve a notice period if offered this role?,notice period,30.0
What is your expected take-home salary?,expected ctc,85000.0
What factors influence your notice period?,notice period,30.0
Do you have specific requirements for bonuses or incentives?,expected ctc,85000.0
Can you provide a joining date after your notice period?,notice period,30.0
Do you have a Twitter handle for professional purposes?,contact information,
What is your annual gross salary?,current ctc,517000.0
Can you provide the name as it appears on your official documents?,name,Manab Boro
How do you determine your expected CTC?,expected ctc,85000.0
Do you have stock options or equity in your current role?,current ctc,517000.0
Does your name have any alternate spellings?,name,Manab
What are your non-negotiable components in the CTC?,expected ctc,85000.0
Are you flexible with your salary expectations?,expected ctc,85000.0
How soon can you start if selected?,notice period,30.0
Do you have any additional perks or reimbursements?,current ctc,517000.0
What is your desired annual package?,expected ctc,85000.0
Is there a cultural or historical significance to your name?,name,Manab Boro
Are you receiving any bonuses or incentives?,current ctc,517000.0
Street address line 1,contact information,No
Is there any specific way your name is spelled?,name,Manab Boro
What factors influence your salary expectations?,expected ctc,85000.0
What is the minimum salary you would consider?,expected ctc,85000.0
Do you have a middle name?,name,
How can we reach you in case of urgency?,contact information,
What is your current salary?,current ctc,517000.0
When does your current contract end?,notice period,30.0
Please indicate your last CTC,current ctc,517000.0
Can you provide your work phone number?,contact information,
Are you satisfied with your current compensation package?,current ctc,517000.0
Are your salary expectations based on market trends?,expected ctc,85000.0
Can you provide your first name and last name?,name,Manab Boro
Can you work part-time during your notice period?,notice period,30.0
What is your preferred method of communication?,contact information,
What is your monthly gross income?,current ctc,517000.0
Could you provide an alternate phone number?,contact information,
Do you need any approvals before resigning?,notice period,30.0
What is your current residential address?,contact information,
What benefits would you like included in your package?,expected ctc,85000.0
Do you have a work email?,contact information,
Do you require any time off before starting the new role?,notice period,30.0
What is your current notice period?,notice period,30.0
Are there any constraints delaying your joining date?,notice period,30.0
Are you serving your notice period currently?,notice period,30.0
Do you use WhatsApp for professional communication?,contact information,
What time zone are you currently in?,contact information,
Location (city),contact information,
What is your legal name?,name,Manab Boro
Does your current CTC include medical insurance?,current ctc,517000.0
Does your current salary include a retention bonus?,current ctc,517000.0
What is your preferred name for professional communication?,name,Manab Boro
What is your email address?,contact information,
What is your take-home salary?,current ctc,517000.0
Is there any flexibility in your notice period?,notice period,30.0
Do you have a personal website or portfolio?,contact information,
What messaging app do you prefer for work-related chats?,contact information,
Do you prefer any nickname or short form?,name,Manab
Expected CTC,expected ctc,85000.0
Can you confirm the correct spelling of your name?,name,Manab Boro
Can you share your postal code?,contact information,
Is there any documentation required to confirm your resignation?,notice period,30.0
Do you receive reimbursement for travel or other expenses?,current ctc,517000.0
Do you have any professional alias or pen name?,name,Manab Boro
What are your current benefits and allowances?,current ctc,517000.0
How much of a hike are you expecting from your current CTC?,expected ctc,85000.0
Could you share your GitHub profile?,contact information,
Do you have a LinkedIn profile?,contact information,
Can you share the breakdown of your CTC?,current ctc,517000.0
Do you have a specific CTC in mind?,expected ctc,85000.0
What is the origin of your name?,name,Manab Boro
Please enter your Annual Current CTC in INR:,current ctc,517000.0
Are you open to performance-based salary increments?,expected ctc,85000.0
What is the percentage of your annual appraisal?,current ctc,517000.0
Kindly mention your ctc,current ctc,517000.0
How does your employer reward performance beyond salary?,current ctc,517000.0
What is the official notice period mentioned in your contract?,notice period,30.0
Have you faced challenges with notice periods in the past?,notice period,30.0
Do you prefer email or phone for communication?,contact information,
Are you open to negotiating your salary expectations?,expected ctc,85000.0
What is your secondary email address?,contact information,
Does your current salary include performance-based components?,current ctc,517000.0
Have you discussed your resignation with your current employer?,notice period,30.0
ECTC,expected ctc,85000.0
What is the earliest you can join us?,notice period,30.0
Would you prioritize benefits over base salary?,expected ctc,85000.0
What is your expected variable pay percentage?,expected ctc,85000.0
What initials do you use professionally?,name,Manab Boro
Are there any deductions from your salary for benefits?,current ctc,517000.0
What is your full name?,name,Manab Boro
Are you available to join immediately?,notice period,30.0
What is your expected salary for this role?,expected ctc,85000.0
Have you informed your current employer about this opportunity?,notice period,30.0
What is the frequency of salary revisions in your current role?,current ctc,517000.0
Can you share your Skype ID?,contact information,
Does your expected CTC include bonuses or incentives?,expected ctc,85000.0
How is your variable pay structured?,current ctc,517000.0
Does your expected CTC include allowances?,expected ctc,85000.0
Can you share your phone number?,contact information,
"What is your preferred title (Mr., Ms., etc.)?",name,Manab Boro
Do you have a professional username or handle?,name,Manab Boro
What is your expected CTC? Is it negotiable?,expected ctc,85000.0
How is your name pronounced?,name,Manab Boro
How does your current employer structure your salary?,current ctc,517000.0
How should we address you in emails?,name,Manab Boro
First name,name,Manab
How soon can you join if selected?,expected ctc,85000.0
City,contact information,
What is your Current Annual Salary?,current ctc,517000.0
What name is printed on your business cards?,name,Manab Boro
What name would you like us to address you by?,name,Manab Boro
Expected Annual CTC in Rs. (LPA),expected ctc,8.5
What is your preferred time for a call or meeting?,contact information,
What are your expectations regarding benefits and perks?,expected ctc,85000.0
Do you foresee any delays in completing your exit formalities?,notice period,30.0
Mobile phone number,contact information,
Are you comfortable with budget upto 10-12 lpa only?,expected ctc,8.5
What is your desired Annual Salary?,expected ctc,85000.0
Current CTC,current ctc,517000.0
What is your Expected Annual Salary ?,expected ctc,85000.0
What is your current CTC?,expected ctc,85000.0
ZIP / Postal Code,contact information,
Can you join within 30 Days?,notice period,30.0
Email address,contact information,
What is your ECTC,expected ctc,85000.0
CTC,current ctc,517000.0
State,contact information,
Please enter your Annual Expected CTC in INR:,expected ctc,85000.0
Last name,name,Boro
What is your expected CTC?,expected ctc,85000.0
Phone country code,contact information,
Your current Annual CTC in Rs. (LPA),current ctc,5.17
What is your phone number?,contact information,
What is your LinkedIn profile?,contact information,
What is your Skype ID?,contact information,
What is your personal website?,contact information,
What is your social media profile?,contact information,
What is your alternate contact number?,contact information,
What is your current address?,contact information,
What is your permanent address?,contact information,
What is your country of residence?,contact information,
What is your availability to join?,notice period,30.0
What is your earliest start date?,notice period,30.0
What is your preferred start date?,notice period,30.0
What is your flexibility for joining?,notice period,30.0
What is your requirement for notice waiver?,notice period,30.0
What is your notice period with current employer?,notice period,30.0
What is your readiness to negotiate notice period?,notice period,30.0
What is your ability to join immediately?,notice period,30.0
What is your maximum notice you can provide?,notice period,30.0
Can you specify your current gross salary?,current ctc,517000.0
Can you specify your current net salary?,current ctc,517000.0
Can you specify your monthly take-home pay?,current ctc,517000.0
Can you specify your current salary structure?,current ctc,517000.0
Can you specify your last salary drawn?,current ctc,517000.0
Can you specify your current salary range?,current ctc,517000.0
Can you specify your basic salary breakdown?,current ctc,517000.0
Can you specify your current fixed salary?,current ctc,517000.0
Can you specify your performance bonuses?,current ctc,517000.0
Can you specify your stock options?,current ctc,517000.0
What is your first name?,name,Manab
What is your last name?,name,Boro
What is your preferred name?,name,Manab Boro
What is your middle name?,name,
What is your name as per passport?,name,Manab Boro
What is your nick name?,name,Manab
What is your name spelling?,name,Manab Boro
What is your surname?,name,Manab
What is your expected gross salary?,expected ctc,85000.0
What is your expected net salary?,expected ctc,85000.0
What is your expected monthly pay?,expected ctc,85000.0
What is your expected salary range?,expected ctc,85000.0
What is your expected annual package?,expected ctc,85000.0
What is your expected minimum expected salary?,expected ctc,85000.0
What is your expected desired salary structure?,expected ctc,85000.0
What is your expected fixed salary expectation?,expected ctc,85000.0
What is your expected performance bonus expectation?,expected ctc,85000.0
What is your expected stock options expectation?,expected ctc,85000.0
What experience do you have with SQL databases?,tech specific experience,I have worked with PostgreSQL and MySQL databases.
What techniques have you used to improve model accuracy?,tech specific experience,I performed manual testing to ensure data integrity.
What tools do you use for data engineering tasks?,general question,I have 2.4  of total work experience.
What is your total work experience?,general question,I have 2.4  of total work experience.
Which programming languages are you proficient in?,general question,I am proficient in Python and Java.
What certifications have you earned?,general question,I have 2.4  of total work experience.
What is your educational qualification?,general question,I have 2.4  of total work experience.
Can you summarize your professional background?,general question,I have 2.4  of total work experience.
What are your strengths as a Software Engineer?,general question,Achieved a 25% reduction in query execution time.
Describe your key achievements in previous roles.,general question,I have 2.4  of total work experience.
What are your future career goals?,general question,I have 2.4  of total work experience.
What are your strengths as a Software Engineer?,general question,I have 2.4  of total work experience.
What is your experience with cloud storage solutions like S3?,tech specific experience,I implemented dbt models to streamline data pipelines.
What techniques have you used to improve model accuracy?,tech specific experience,I automated report generation pipelines with Python and Airflow.
Explain your work with dbt in data pipelines.,tech specific experience,I have worked with PostgreSQL and MySQL databases.
Explain your work with dbt in data pipelines.,tech specific experience,I performed manual testing to ensure data integrity.
For how many  have you optimized queries?,tech specific experience,2 
How long have you worked with AWS S3?,tech specific experience,1 
How many  of experience do you have with deep learning?,tech specific experience,2.4 
How many  have you automated data pipelines?,tech specific experience,1 
How many  of experience do you have with dbt?,tech specific experience,2 
For how many  have you used Snowflake?,tech specific experience,2 
How many  of work experience do you have with SQL?,tech specific experience,2 
How many  have you automated data pipelines?,tech specific experience,2 
How many  of experience do you have with deep learning?,tech specific experience,2 
How long have you been using PostgreSQL?,tech specific experience,1 
How long have you been using PostgreSQL?,tech specific experience,2 
How many  have you worked with Python?,tech specific experience,2 
How many  of work experience do you have with SQL?,tech specific experience,1 
For how many  have you used Snowflake?,tech specific experience,1.5 
How long have you been using Apache Airflow?,tech specific experience,2 
How many  of experience do you have with dbt?,tech specific experience,2.4 
How many  have you automated data pipelines?,tech specific experience,2.4 
How many  of work experience do you have with SQL?,tech specific experience,2.4 
How long have you been using Apache Airflow?,tech specific experience,2.4 
How many  have you worked with Python?,tech specific experience,2.4 
How many  of work experience do you have with SQL?,tech specific experience,1.5 
For how many  have you optimized queries?,tech specific experience,1.5 
How long have you worked with AWS S3?,tech specific experience,2 
How long have you been using Apache Airflow?,tech specific experience,1.5 
How long have you been using PostgreSQL?,tech specific experience,2.4 
How many  have you worked with Python?,tech specific experience,1.5 
How long have you worked with AWS S3?,tech specific experience,2.4 
For how many  have you used Snowflake?,tech specific experience,1 
For how many  have you used Snowflake?,tech specific experience,2.4 
For how many  have you optimized queries?,tech specific experience,2.4 
For how many  have you optimized queries?,tech specific experience,1 
How long have you worked with AWS S3?,tech specific experience,1.5 
How many  have you worked with Python?,tech specific experience,1 
How many  of experience do you have with dbt?,tech specific experience,1.5 
How many  have you automated data pipelines?,tech specific experience,1.5 
How long have you been using Apache Airflow?,tech specific experience,1 
How many  of experience do you have with deep learning?,tech specific experience,1.5 
How long have you been using PostgreSQL?,tech specific experience,1.5 
How many  of experience do you have with deep learning?,tech specific experience,1 
How many  of experience do you have with dbt?,tech specific experience,1 
What is your preferred programming language?,general question,Python
Have you worked with NVIDIA TAO Toolkit?,tech specific experience,Yes
What is your highest level of education?,general question,MCA
Have you worked with Apache Airflow?,tech specific experience,Yes
Are you currently employed?,general question,Yes
Have you used dbt in a project?,tech specific experience,Yes
What is your current job role?,general question,Software Engineer
Are you familiar with Agile methodologies?,general question,Yes
What is your proficiency level with SQL?,tech specific experience,Advanced
How many years of experience do you have with data engineering?,tech specific experience,2 years
What is your expected salary?,general question,Not specified
Do you have any certifications?,general question,Yes
How many years of experience do you have with Python?,tech specific experience,2 years
Do you have experience with Snowflake?,tech specific experience,Yes
Are you open to relocation?,general question,Yes
Have you implemented any algorithms in C?,tech specific experience,Yes
Do you have experience in training deep learning models?,tech specific experience,Yes
How many projects have you completed?,general question,2
Do you have experience with data preprocessing?,tech specific experience,Yes
What is your total work experience?,general question,2.4 years
How many projects have you completed using dbt?,tech specific experience,2
How many models have you trained using NVIDIA TAO Toolkit?,tech specific experience,2
How many years of experience do you have with Snowflake?,tech specific experience,2 years
How many workflows have you automated using Apache Airflow?,tech specific experience,2
How many data pipelines have you built?,tech specific experience,2
How many algorithms have you implemented in C?,tech specific experience,2
How many years have you worked with SQL?,tech specific experience,2.3 years
How many deep learning projects have you contributed to?,tech specific experience,2
How many years of work experience do you have?,general question,2.4
What is your total experience as a Data Engineer?,tech specific experience,2
Have you worked with Python in your career?,general question,Yes
How many years of experience do you have with ETL pipelines?,tech specific experience,2
What is your proficiency level in SQL?,general question,Advanced
Have you worked on data transformations?,tech specific experience,Yes
Do you have experience with cloud platforms?,general question,Yes
How many years of experience do you have in building data models?,tech specific experience,2
What is your experience level with Big Data tools like Spark or Hadoop?,general question,Intermediate
Have you worked with APIs for data integration?,tech specific experience,Yes
Have you collaborated with cross-functional teams?,general question,Yes
What is your experience level with Python scripting?,tech specific experience,Advanced
Do you have experience in troubleshooting data issues?,general question,Yes
How many years of experience do you have with data visualization tools?,tech specific experience,0.4
Are you familiar with Agile methodologies?,general question,Yes
How do you ensure data quality in ETL processes?,tech specific experience,Validation & testing
Do you have experience optimizing database queries?,general question,Yes
What is your experience level with version control systems like Git?,tech specific experience,Intermediate
Have you worked on automating repetitive tasks?,general question,Yes
How many years of experience do you have with workflow orchestration tools?,tech specific experience,2
How many years of work experience do you have?,general question,2.4
What is your total experience as a Data Engineer?,tech specific experience,2
Have you worked with Python in your career?,general question,Yes
How many years of experience do you have with ETL pipelines?,tech specific experience,2
What is your proficiency level in SQL?,general question,Advanced
Have you worked on data transformations?,tech specific experience,Yes
Do you have experience with cloud platforms?,general question,Yes
How many years of experience do you have in building data models?,tech specific experience,2
What is your experience level with Big Data tools like Spark or Hadoop?,general question,Intermediate
Have you worked with APIs for data integration?,tech specific experience,Yes
Have you collaborated with cross-functional teams?,general question,Yes
What is your experience level with Python scripting?,tech specific experience,Advanced
Do you have experience in troubleshooting data issues?,general question,Yes
How many years of experience do you have with data visualization tools?,tech specific experience,0.4
Are you familiar with Agile methodologies?,general question,Yes
How do you ensure data quality in ETL processes?,tech specific experience,Validation & testing
Do you have experience optimizing database queries?,general question,Yes
What is your experience level with version control systems like Git?,tech specific experience,Intermediate
Have you worked on automating repetitive tasks?,general question,Yes
How many years of experience do you have with workflow orchestration tools?,tech specific experience,2
What is your experience level with SQL?,tech specific experience,Intermediate
What is your experience level with Python?,tech specific experience,Intermediate
What is your experience level with ETL pipelines?,tech specific experience,Intermediate
What is your experience level with Apache Spark?,tech specific experience,Intermediate
What is your experience level with Hadoop?,tech specific experience,Intermediate
What is your experience level with Airflow?,tech specific experience,Intermediate
What is your experience level with AWS?,tech specific experience,Intermediate
What is your experience level with Google Cloud Platform?,tech specific experience,Intermediate
What is your experience level with Azure Data Factory?,tech specific experience,Intermediate
What is your experience level with Data Warehousing?,tech specific experience,Intermediate
What is your experience level with PostgreSQL?,tech specific experience,Intermediate
What is your experience level with MySQL?,tech specific experience,Intermediate
What is your experience level with MongoDB?,tech specific experience,Intermediate
What is your experience level with Redis?,tech specific experience,Intermediate
What is your experience level with Kafka?,tech specific experience,Intermediate
What is your experience level with Pandas?,tech specific experience,Intermediate
What is your experience level with NumPy?,tech specific experience,Intermediate
What is your experience level with Docker?,tech specific experience,Intermediate
What is your experience level with Kubernetes?,tech specific experience,Intermediate
What is your experience level with Terraform?,tech specific experience,Intermediate
What is your experience level with Jenkins?,tech specific experience,Intermediate
What is your experience level with CI/CD?,tech specific experience,Intermediate
What is your experience level with Data Lake?,tech specific experience,Intermediate
What is your experience level with Data Quality?,tech specific experience,Intermediate
What is your experience level with Tableau?,tech specific experience,Intermediate
What is your experience level with Power BI?,tech specific experience,Intermediate
What is your experience level with Snowflake?,tech specific experience,Intermediate
What is your experience level with Redshift?,tech specific experience,Intermediate
What is your experience level with BigQuery?,tech specific experience,Intermediate
What is your experience level with Data Governance?,tech specific experience,Intermediate
What is your experience level with Git?,tech specific experience,Intermediate
What is your experience level with REST APIs?,tech specific experience,Intermediate
What is your experience level with GraphQL?,tech specific experience,Intermediate
What is your experience level with PySpark?,tech specific experience,Intermediate
What is your experience level with Databricks?,tech specific experience,Intermediate
What is your experience level with Data Catalogs?,tech specific experience,Intermediate
What is your experience level with Machine Learning Pipelines?,tech specific experience,Intermediate
What is your experience level with Feature Engineering?,tech specific experience,Intermediate
What is your experience level with Data Encryption?,tech specific experience,Intermediate
What is your experience level with Data Partitioning?,tech specific experience,Intermediate
What is your experience level with Data Lineage?,tech specific experience,Intermediate
What is your experience level with SQL Query Optimization?,tech specific experience,Intermediate
What is your experience level with Data Replication?,tech specific experience,Intermediate
What is your experience level with Data Archiving?,tech specific experience,Intermediate
What is your experience level with Data Backup?,tech specific experience,Intermediate
What is your experience level with Schema Design?,tech specific experience,Intermediate
What is your experience level with Columnar Databases?,tech specific experience,Intermediate
What is your experience level with Row-Oriented Databases?,tech specific experience,Intermediate
What is your experience level with Data Normalization?,tech specific experience,Intermediate
What is your experience level with Data Denormalization?,tech specific experience,Intermediate
What is your experience level with JSON Data?,tech specific experience,Intermediate
What is your experience level with Parquet Files?,tech specific experience,Intermediate
What is your experience level with ORC Files?,tech specific experience,Intermediate
What is your experience level with CSV Processing?,tech specific experience,Intermediate
What is your experience level with Data Streaming?,tech specific experience,Intermediate
What is your experience level with Batch Processing?,tech specific experience,Intermediate
What is your experience level with Data Ingestion?,tech specific experience,Intermediate
What is your experience level with Event-Driven Architecture?,tech specific experience,Intermediate
What is your experience level with Distributed Systems?,tech specific experience,Intermediate
